generation,rank_1,rank_2,swapAccepted
1223000,1,2,0
1224000,1,4,0
1225000,2,3,1
1226000,1,2,0
1227000,2,3,1
1228000,3,4,0
1229000,1,3,0
1230000,2,3,1
1231000,1,4,0
1232000,1,4,0
1233000,3,4,0
1234000,2,4,1
1235000,2,4,1
1236000,1,4,0
1237000,1,3,0
1238000,2,3,1
1239000,1,4,0
1240000,1,2,0
1241000,1,2,0
1242000,2,4,1
1243000,1,2,0
1244000,1,3,1
1245000,1,2,1
1246000,1,2,1
1247000,1,2,1
1248000,1,4,1
1249000,1,4,0
1250000,1,3,1
1251000,1,3,1
1252000,1,2,1
1253000,2,3,1
1254000,1,4,1
1255000,1,4,1
1256000,2,3,1
1257000,1,3,1
1258000,1,3,0
1259000,2,3,0
1260000,1,3,0
1261000,2,3,0
1262000,2,4,0
1263000,2,4,0
1264000,2,4,0
1265000,2,4,0
1266000,3,4,1
1267000,3,4,1
1268000,3,4,1
1269000,1,2,1
1270000,1,3,1
1271000,2,4,1
1272000,1,3,0
1273000,1,3,0
1274000,3,4,1
1275000,2,4,1
1276000,1,4,0
1277000,1,2,1
1278000,1,4,0
1279000,1,4,0
1280000,1,3,1
1281000,1,3,0
1282000,1,4,0
1283000,3,4,0
1284000,3,4,0
1285000,3,4,0
1286000,1,2,0
1287000,2,4,1
1288000,1,3,1
1289000,2,3,1
1290000,2,4,0
1291000,2,3,0
1292000,2,4,0
1293000,1,2,1
1294000,1,3,0
1295000,3,4,0
1296000,1,3,0
1297000,1,3,0
1298000,3,4,0
1299000,1,2,1
1300000,2,3,1
1301000,2,4,1
1302000,1,3,1
1303000,1,2,0
1304000,1,3,0
1305000,1,3,0
1306000,1,2,0
1307000,1,3,1
1308000,1,2,0
1309000,2,4,1
1310000,2,3,1
1311000,2,4,0
1312000,1,3,0
1313000,1,2,0
1314000,1,4,0
1315000,3,4,1
1316000,2,4,1
1317000,2,3,0
1318000,2,3,0
1319000,3,4,1
1320000,1,4,0
1321000,1,4,1
1322000,3,4,1
1323000,3,4,1
1324000,1,4,1
1325000,2,4,0
1326000,3,4,1
1327000,3,4,0
1328000,1,2,1
1329000,1,2,1
1330000,1,2,1
1331000,1,4,0
1332000,3,4,0
1333000,1,3,0
1334000,1,3,1
1335000,1,4,0
1336000,2,4,1
1337000,1,4,0
1338000,1,2,1
1339000,1,2,1
1340000,1,3,1
1341000,3,4,0
1342000,1,2,0
1343000,1,2,0
1344000,2,4,1
1345000,1,2,0
1346000,2,4,1
1347000,1,3,1
1348000,1,4,0
1349000,1,2,0
1350000,1,3,1
1351000,2,3,1
1352000,1,2,1
1353000,2,3,1
1354000,2,3,1
1355000,1,4,0
1356000,1,4,0
1357000,1,3,0
1358000,1,2,1
1359000,1,2,0
1360000,3,4,1
