original_name,updated_name
Hypoponera_sc_maka_MAMI1430_CASENT0210683,Hypoponera_sc_maka_MAMI1430_CASENT0210683
Hypoponera_sc_maki_MAMI1431_CASENT0231369,Hypoponera_sc_maki_MAMI1431_CASENT0231369
Hypoponera_sc_mand_MAMI1447_CASENT0070474,Hypoponera_sc_mand_MAMI1447_CASENT0070474
Hypoponera_sc_mano_MAMI1434_CASENT0196810,Hypoponera_sc_mano_MAMI1434_CASENT0196810
Hypoponera_sc_maro_MAMI1435_CASENT0040665,Hypoponera_sc_maro_MAMI1435_CASENT0040665
Hypoponera_sc_mora_MAMI1439_CASENT0046628,Hypoponera_sc_mora_MAMI1439_CASENT0046628
Hypoponera_sc_nosy_MAMI1440_CASENT0779195,Hypoponera_sc_nosy_MAMI1440_CASENT0779195
Hypoponera_sc_rano_MAMI1441_CASENT0497401,Hypoponera_sc_rano_MAMI1441_CASENT0497401
Hypoponera_sc_tamp_MAMI1443_CASENT0872732,Hypoponera_sc_tamp_MAMI1443_CASENT0872732
Hypoponera_sc_zaha_MAMI1444_CASENT0152601,Hypoponera_sc_zaha_MAMI1444_CASENT0152601
Hypoponera_spei_EX2809,Hypoponera_spei_EX2809_CASENT0785139
Hypoponera_sulcatinasis_EX2767,Hypoponera_sulcatinasis_EX2767_CASENT0217347
Hypoponera_transvaalensis_D2467,Hypoponera_transvaalensis_D2467_CASENT0821431
Hypoponera_trigona_EX2233,Hypoponera_trigona_EX2233_CASENT0635113
Hypoponera_tristis_EX2787,Hypoponera_tristis_EX2787_CASENT0361652
Leptogenys_AFR01_EX2869,Leptogenys_afr01_EX2869_CASENT0317009
Leptogenys_AFR02_EX2870,Leptogenys_afr02_EX2870_CASENT0317010
Leptogenys_AFR03_EX2871,Leptogenys_afr03_EX2871_CASENT0317011
Leptogenys_AFR05_EX2873,Leptogenys_afr05_EX2873_CASENT0317013
Leptogenys_AFR07_EX2875,Leptogenys_afr07_EX2875_CASENT0317015
Leptogenys_AFR08_EX2876,Leptogenys_afr08_EX2876_CASENT0317016
Leptogenys_AFR09_EX2877,Leptogenys_afr09_EX2877_CASENT0317017
Leptogenys_AFR10_EX2878,Leptogenys_afr10_EX2878_CASENT0395299
